Venue_Name,Address,Format,Price
OYO 12840 Sri Guru Residency,"Bidadi Railway Station, Bangalore",AC  TV  Complimentary Veg Breakfast  (+ 3 more),811
OYO 432 Hotel Victoria Heights,"Near St.Philomena's Hospital, Xavier Layout, Bangalore",CCTV Cameras  Geyser  Complimentary Breakfast  (+ 6 more),942
OYO 49293 Hotel White Walkers,"Teachers Colony, Kumaraswamy Layout, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 3 more),728
Capital O 35572 La Brook,"Near Brookfield Mall, Brookefield, Bangalore",Elevator  AC  Card Payment  (+ 10 more),1508
OYO 18936 Khushi Paradise,"RK Hegde Nagar, Bengaluru",CCTV Cameras  Card Payment  Power backup  (+ 1 more),766
Capital O 46966 Apollo 27 Deluxe,"Domlur, Bangalore",First Aid  Daily Housekeeping  Card Payment  (+ 20 more),1678
OYO Townhouse 077 RNS Engineering College,"Near Sai Lotus Layout,Bangalore,",Parking Facility  Kitchen  First Aid  (+ 15 more),1006
OYO 16405 Rg Residency,"Hesarghatta Main Road, Bangalore",CCTV Cameras  Geyser  Complimentary Breakfast  (+ 6 more),811
OYO 49087 SG Comforts,"Navya Nagar Road, Jakkur, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 9 more),728
OYO 8799 Urs Palace,"Rajaji Nagar, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),865
OYO 24850 Stay Zone,"Vignan Nagar, Bangalore",Attached Bathroom  CCTV Cameras  Fire-Extinguisher  (+ 7 more),850
OYO 11097 Hotel Grand Arabian,"Dr.Ambedkar Nagar, Yeshwanthpur, Bangalore",AC  TV  Card Payment  (+ 4 more),847
OYO Townhouse 078 Dodda Banaswadi,"Lakshmamma Layout, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 15 more),1473
OYO 12543 Maple Tree,"Next to Cafe Coffee Day, HBR Layout, Bangalore",Elevator  Complimentary Breakfast  Kitchen  (+ 7 more),811
Collection O 42670 Grand Continent,"Near Mini Forest, Bangalore",AC  TV  Free Wifi,1331
OYO 8739 Melody Inn Bellandur,"Bellandur, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 8 more),2169
OYO 26817 Gks Residency,"BTM Layout 2nd Stage, Bangalore",First Aid  Attached Bathroom  CCTV Cameras  (+ 10 more),811
OYO 45574 Prakruthi Paradise,"Bengaluru, Bangalore",Parking Facility  Buzzer/Door Bell  Complimentary Veg Breakfast  (+ 14 more),850
